127.0.0.1 - - [12/Jan/2018:17:58:51 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [12/Jan/2018:17:58:51 +0900] "GET /Practice_web/practice_parallax/onepage.html HTTP/1.1" 200 2297
0:0:0:0:0:0:0:1 - - [12/Jan/2018:17:59:00 +0900] "GET /Practice_web/practice_parallax/www.mini-schools.com HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [12/Jan/2018:17:59:05 +0900] "GET /Practice_web/practice_parallax/www.freeget.net HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [12/Jan/2018:17:59:09 +0900] "GET /Practice_web/practice_parallax/www.sohostyle.com HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [12/Jan/2018:17:59:16 +0900] "GET /Practice_web/practice_parallax/www.scratch.mit.edu HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [12/Jan/2018:17:59:24 +0900] "GET /Practice_web/practice_parallax/onepage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2018:18:13:19 +0900] "GET /Practice_web/practice_parallax/onepage.html HTTP/1.1" 200 2314
0:0:0:0:0:0:0:1 - - [12/Jan/2018:18:13:22 +0900] "GET /Practice_web/practice_parallax/img/flower_bg.jpg HTTP/1.1" 200 60901
0:0:0:0:0:0:0:1 - - [12/Jan/2018:18:13:59 +0900] "GET /Practice_web/practice_parallax/onepage.html HTTP/1.1" 200 2317
0:0:0:0:0:0:0:1 - - [12/Jan/2018:18:14:00 +0900] "GET /Practice_web/practice_parallax/img/flower_bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2018:18:14:42 +0900] "GET /Practice_web/practice_parallax/onepage.html HTTP/1.1" 200 2335
0:0:0:0:0:0:0:1 - - [12/Jan/2018:18:14:43 +0900] "GET /Practice_web/practice_parallax/img/flower_bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2018:18:14:51 +0900] "GET /Practice_web/practice_parallax/onepage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2018:18:14:53 +0900] "GET /Practice_web/practice_parallax/onepage.html HTTP/1.1" 200 2335
0:0:0:0:0:0:0:1 - - [12/Jan/2018:18:14:53 +0900] "GET /Practice_web/practice_parallax/img/flower_bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2018:18:14:53 +0900] "GET /Practice_web/practice_parallax/onepage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2018:18:14:53 +0900] "GET /Practice_web/practice_parallax/onepage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2018:18:14:53 +0900] "GET /Practice_web/practice_parallax/onepage.html HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Jan/2018:18:15:36 +0900] "GET /Practice_web/practice_parallax/onepage.html HTTP/1.1" 200 2351
0:0:0:0:0:0:0:1 - - [12/Jan/2018:18:15:36 +0900] "GET /Practice_web/practice_parallax/img/flower_bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2018:18:15:45 +0900] "GET /Practice_web/practice_parallax/onepage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2018:18:15:46 +0900] "GET /Practice_web/practice_parallax/onepage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2018:18:16:06 +0900] "GET /Practice_web/practice_parallax/onepage.html HTTP/1.1" 200 2351
0:0:0:0:0:0:0:1 - - [12/Jan/2018:18:16:06 +0900] "GET /Practice_web/practice_parallax/img/flower_bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2018:18:16:16 +0900] "GET /Practice_web/practice_parallax/onepage.html HTTP/1.1" 200 2351
0:0:0:0:0:0:0:1 - - [12/Jan/2018:18:16:40 +0900] "GET /Practice_web/practice_parallax/onepage.html HTTP/1.1" 200 2372
0:0:0:0:0:0:0:1 - - [12/Jan/2018:18:16:40 +0900] "GET /Practice_web/practice_parallax/img/flower_bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2018:18:16:54 +0900] "GET /Practice_web/practice_parallax/onepage.html HTTP/1.1" 200 2372
